,CustID,MonthSal,GeoLivArea,Children,CustMonVal,Client Tenure,Total Premium,EducDeg_BSc/MSc,EducDeg_High School,EducDeg_PhD,Customer_Category_Bronze,Customer_Category_Diamond,Customer_Category_Gold,Customer_Category_Silver
0,1.0,2177.0,1.0,1.0,380.97,31.0,665.5600000000001,0,1,0,1,0,0,0
1,2.0,677.0,4.0,1.0,-131.13,21.0,910.9599999999999,0,1,0,0,0,1,0
2,3.0,2277.0,3.0,0.0,504.67,25.0,740.6,0,0,0,0,0,0,1
3,4.0,1099.0,4.0,1.0,-16.99,26.0,600.6800000000001,1,0,0,1,0,0,0
4,5.0,1763.0,4.0,1.0,35.23,30.0,629.24,1,0,0,1,0,0,0
5,6.0,2566.0,4.0,1.0,-24.33,30.0,589.1199999999999,0,1,0,1,0,0,0
6,7.0,4103.0,4.0,0.0,-66.01,37.0,811.48,0,1,0,0,0,0,1
7,8.0,1743.0,4.0,1.0,-144.91,28.0,909.8400000000001,0,1,0,0,0,1,0
8,9.0,1862.0,1.0,1.0,356.53,35.0,591.5699999999999,1,0,0,1,0,0,0
9,10.0,3842.0,1.0,0.0,-119.35,40.0,757.8000000000001,1,0,0,0,0,0,1
10,11.0,3995.0,4.0,0.0,290.17,26.0,670.4699999999999,1,0,0,1,0,0,0
11,12.0,2834.0,3.0,1.0,405.74,31.0,790.36,1,0,0,0,0,0,1
12,13.0,3757.0,1.0,0.0,2.34,35.0,862.0400000000001,1,0,0,0,0,1,0
13,14.0,1043.0,3.0,1.0,-75.12,16.0,877.2800000000002,0,0,0,0,0,1,0
14,15.0,1981.0,1.0,1.0,-89.0,33.0,535.0,0,1,0,1,0,0,0
15,16.0,974.0,4.0,1.0,290.06,28.0,676.12,1,0,0,1,0,0,0
16,17.0,2437.0,1.0,1.0,100.58,25.0,1098.8799999999999,0,1,0,0,1,0,0
17,18.0,2728.0,4.0,1.0,78.91,35.0,672.2399999999999,1,0,0,1,0,0,0
18,19.0,1414.0,3.0,1.0,230.38,34.0,895.7199999999998,0,0,0,0,0,1,0
19,20.0,2751.0,1.0,1.0,352.96,28.0,592.56,0,0,1,1,0,0,0
20,21.0,1704.0,4.0,1.0,373.73,30.0,654.0,0,0,1,1,0,0,0
21,22.0,2823.2,3.0,1.0,111.37,39.0,674.36,0,1,0,1,0,0,0
22,23.0,1495.0,1.0,1.0,-89.79,30.0,830.16,0,1,0,0,0,1,0
23,24.0,2870.0,4.0,1.0,290.05,18.0,881.49,0,1,0,0,0,1,0
24,25.0,3201.0,4.0,0.0,108.13,28.0,704.68,1,0,0,0,0,0,1
25,26.0,3776.0,2.0,0.0,376.3,42.0,675.1199999999999,0,0,1,1,0,0,0
26,27.0,4281.0,3.0,0.0,430.86,38.0,740.24,0,0,1,0,0,0,1
27,28.0,3619.0,1.0,0.0,-7.22,37.0,649.1199999999999,0,0,1,1,0,0,0
28,29.0,3639.0,4.0,0.0,264.17,21.0,574.12,1,0,0,1,0,0,0
29,30.0,2660.0,3.0,0.0,2.0,36.0,606.11,1,0,0,1,0,0,0
30,31.0,2148.0,4.0,1.0,427.76,28.0,559.1099999999999,0,1,0,1,0,0,0
31,32.0,3490.0,4.0,0.0,240.16,32.0,858.04,0,1,0,0,0,1,0
32,33.0,2126.0,4.0,1.0,-2.44,27.0,594.4499999999999,1,0,0,1,0,0,0
33,34.0,1601.0,1.0,1.0,-5.55,29.0,606.5599999999998,0,1,0,1,0,0,0
34,35.0,3662.0,3.0,0.0,336.07,37.0,688.6800000000001,1,0,0,1,0,0,0
35,36.0,2420.0,3.0,0.0,53.8,26.0,735.4799999999999,0,1,0,0,0,0,1
36,37.0,2401.0,4.0,1.0,7.24,34.0,551.56,0,1,0,1,0,0,0
37,38.0,3343.0,1.0,0.0,-31.78,40.0,646.1199999999999,0,1,0,1,0,0,0
38,39.0,3985.0,3.0,0.0,-14.22,31.0,697.24,0,1,0,1,0,0,0
39,40.0,3858.0,1.0,0.0,-1.55,36.0,628.68,1,0,0,1,0,0,0
40,41.0,1177.0,4.0,1.0,121.36,21.0,937.52,0,1,0,0,0,1,0
41,42.0,3256.0,1.0,1.0,402.63,28.0,799.4800000000001,1,0,0,0,0,0,1
42,43.0,2116.0,4.0,1.0,710.8,22.0,904.7199999999999,0,1,0,0,0,1,0
43,44.0,1353.0,2.0,1.0,-77.01,22.0,768.6,0,1,0,0,0,0,1
44,45.0,1065.0,1.0,1.0,-128.68,26.0,554.0,1,0,0,1,0,0,0
45,46.0,1937.0,3.0,1.0,624.34,25.0,1042.19,1,0,0,0,1,0,0
46,47.0,1219.0,4.0,1.0,-94.9,30.0,843.4799999999999,1,0,0,0,0,1,0
47,48.0,4233.0,3.0,0.0,279.28,39.0,824.48,0,1,0,0,0,1,0
48,49.0,2381.0,3.0,1.0,-132.88,31.0,531.56,1,0,0,1,0,0,0
49,50.0,2660.0,1.0,1.0,-21.11,30.0,603.2299999999999,0,1,0,1,0,0,0
50,51.0,1569.0,4.0,1.0,420.64,33.0,657.6899999999999,1,0,0,1,0,0,0
51,52.0,3234.0,4.0,1.0,-14714.08,34.0,603.0,1,0,0,1,0,0,0
52,53.0,1960.0,3.0,1.0,-104.21,30.0,555.56,1,0,0,1,0,0,0
53,54.0,1148.0,1.0,1.0,-11.33,33.0,784.47,0,1,0,0,0,0,1
